,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
206,2 weeks ,60.0,5.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22063154.html,1100-1975,49-61
207,2 weeks ,45.0,8.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22343186.html,1100-1975,37-49
208,2 weeks ,65.0,8.0,Flat,"E-11/4, E-11",937.0,2.0,2.0,https://www.prop.pk/property/details-22380232.html,225-1100,61-73
209,2 weeks ,60.0,9.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22526076.html,1100-1975,49-61
211,2 weeks ,23.0,1.0,Flat,"E-11/2, E-11",550.0,1.0,1.0,https://www.prop.pk/property/details-20981262.html,225-1100,14-25
212,2 weeks ,29.0,2.0,Flat,"E-11/2, E-11",650.0,1.0,1.0,https://www.prop.pk/property/details-21123155.html,225-1100,25-37
213,2 weeks ,35.0,4.0,Flat,"E-11/2, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-21123227.html,225-1100,25-37
214,2 weeks ,25.0,3.0,Flat,"E-11/2, E-11",650.0,1.0,1.0,https://www.prop.pk/property/details-21123276.html,225-1100,25-37
215,2 weeks ,38.0,7.0,Flat,"E-11/2, E-11",1200.0,3.0,3.0,https://www.prop.pk/property/details-21123302.html,1100-1975,37-49
216,2 weeks ,27.0,2.0,Flat,"E-11/2, E-11",850.0,2.0,2.0,https://www.prop.pk/property/details-21134514.html,225-1100,25-37
217,2 weeks ,32.0,13.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-21046436.html,225-1100,25-37
218,2 weeks ,35.0,6.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-21093119.html,225-1100,25-37
219,2 weeks ,50.0,14.0,Flat,"E-11/4, E-11",1400.0,3.0,3.0,https://www.prop.pk/property/details-21338192.html,1100-1975,49-61
220,2 weeks ,20.0,2.0,Flat,"E-11/2, E-11",600.0,1.0,1.0,https://www.prop.pk/property/details-21268080.html,225-1100,14-25
221,2 weeks ,18.0,5.0,Flat,"E-11/2, E-11",600.0,1.0,1.0,https://www.prop.pk/property/details-21260210.html,225-1100,14-25
222,2 weeks ,20.0,5.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-21260340.html,225-1100,14-25
223,2 weeks ,38.0,6.0,Flat,"E-11/4, E-11",1200.0,2.0,3.0,https://www.prop.pk/property/details-21134743.html,1100-1975,37-49
224,2 weeks ,35.0,4.0,Flat,"E-11/2, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-21134816.html,225-1100,25-37
226,2 weeks ,24.0,4.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-22503620.html,225-1100,14-25
227,2 weeks ,65.0,30.0,Flat,E-11,1258.0,2.0,2.0,https://www.prop.pk/property/details-22503415.html,1100-1975,61-73
228,2 weeks ,26.0,6.0,Flat,E-11,650.0,2.0,2.0,https://www.prop.pk/property/details-22503275.html,225-1100,25-37
229,2 weeks ,60.0,21.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22503272.html,1100-1975,49-61
230,2 weeks ,30.0,6.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22503201.html,225-1100,25-37
231,2 weeks ,22.0,8.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22503171.html,225-1100,14-25
232,2 weeks ,25.0,9.0,Flat,E-11,525.0,1.0,1.0,https://www.prop.pk/property/details-22503118.html,225-1100,25-37
234,2 weeks ,22.0,7.0,Flat,E-11,800.0,1.0,1.0,https://www.prop.pk/property/details-22502811.html,225-1100,14-25
235,2 weeks ,65.0,20.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-22502161.html,1100-1975,61-73
236,2 weeks ,95.0,25.0,Flat,"E-11/2, E-11",2850.0,4.0,4.0,https://www.prop.pk/property/details-22495860.html,2850-3725,85-97
237,3 weeks ,85.0,26.0,Flat,E-11,2900.0,4.0,4.0,https://www.prop.pk/property/details-22487129.html,2850-3725,85-97
238,3 weeks ,43.0,10.0,Flat,"E-11/4, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-22486712.html,225-1100,37-49
239,3 weeks ,30.0,6.0,Flat,E-11,700.0,1.0,1.0,https://www.prop.pk/property/details-22476548.html,225-1100,25-37
240,3 weeks ,50.0,9.0,Flat,E-11,1400.0,3.0,2.0,https://www.prop.pk/property/details-22476264.html,1100-1975,49-61
241,3 weeks ,35.0,7.0,Flat,E-11,1000.0,3.0,2.0,https://www.prop.pk/property/details-19728605.html,225-1100,25-37
242,3 weeks ,45.0,18.0,Flat,E-11,1550.0,3.0,3.0,https://www.prop.pk/property/details-19893072.html,1100-1975,37-49
243,3 weeks ,36.0,9.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-19893353.html,1100-1975,25-37
244,3 weeks ,45.0,35.0,Flat,E-11,1600.0,3.0,2.0,https://www.prop.pk/property/details-20115939.html,1100-1975,37-49
245,3 weeks ,55.0,16.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-20131975.html,1100-1975,49-61
246,3 weeks ,48.0,13.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-20132280.html,225-1100,37-49
247,3 weeks ,45.0,10.0,Flat,E-11,900.0,1.0,1.0,https://www.prop.pk/property/details-20219832.html,225-1100,37-49
249,3 weeks ,48.0,12.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-20311603.html,225-1100,37-49
250,3 weeks ,45.0,10.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-20312226.html,225-1100,37-49
251,3 weeks ,35.0,20.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20647158.html,1100-1975,25-37
252,3 weeks ,45.0,27.0,Flat,E-11,1550.0,3.0,2.0,https://www.prop.pk/property/details-20647837.html,1100-1975,37-49
253,3 weeks ,43.0,15.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-20709248.html,225-1100,37-49
254,3 weeks ,55.0,19.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-20943221.html,1100-1975,49-61
255,3 weeks ,42.0,23.0,Flat,E-11,1100.0,2.0,2.0,https://www.prop.pk/property/details-21015857.html,1100-1975,37-49
256,3 weeks ,55.0,24.0,Flat,E-11,1100.0,3.0,4.0,https://www.prop.pk/property/details-21016313.html,1100-1975,49-61
257,3 weeks ,45.0,21.0,Flat,E-11,1100.0,3.0,3.0,https://www.prop.pk/property/details-21016855.html,1100-1975,37-49
258,3 weeks ,55.0,25.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-21021222.html,225-1100,49-61
259,3 weeks ,70.0,14.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-21176038.html,1100-1975,61-73
260,3 weeks ,45.0,9.0,Flat,E-11,1600.0,3.0,3.0,https://www.prop.pk/property/details-21607634.html,1100-1975,37-49
261,3 weeks ,35.0,12.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21607924.html,225-1100,25-37
262,3 weeks ,80.0,6.0,Flat,E-11,1400.0,3.0,3.0,https://www.prop.pk/property/details-21608254.html,1100-1975,73-85
264,3 weeks ,45.0,14.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21609177.html,225-1100,37-49
265,3 weeks ,50.0,12.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-21609254.html,1100-1975,49-61
267,3 weeks ,65.0,13.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-21882202.html,1100-1975,61-73
268,3 weeks ,65.0,14.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-22058562.html,1100-1975,61-73
269,3 weeks ,35.0,9.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22058719.html,225-1100,25-37
270,3 weeks ,27.0,5.0,Flat,E-11,700.0,1.0,1.0,https://www.prop.pk/property/details-22059002.html,225-1100,25-37
271,3 weeks ,45.0,7.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22059198.html,1100-1975,37-49
272,3 weeks ,35.0,13.0,Flat,E-11,1214.0,2.0,2.0,https://www.prop.pk/property/details-22466758.html,1100-1975,25-37
273,3 weeks ,35.0,15.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-22466631.html,1100-1975,25-37
274,3 weeks ,40.0,2.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-22460030.html,225-1100,37-49
276,3 weeks ,90.0,14.0,Flat,E-11,2850.0,4.0,4.0,https://www.prop.pk/property/details-22452242.html,2850-3725,85-97
277,3 weeks ,80.0,6.0,Flat,E-11,1400.0,3.0,3.0,https://www.prop.pk/property/details-21631154.html,1100-1975,73-85
278,3 weeks ,55.0,25.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-21632047.html,1100-1975,49-61
279,3 weeks ,65.0,19.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22428914.html,1100-1975,61-73
280,3 weeks ,27.0,5.0,Flat,E-11,950.0,2.0,2.0,https://www.prop.pk/property/details-22428861.html,225-1100,25-37
281,3 weeks ,87.0,5.0,Flat,"Margalla Hills-2, E-11",2850.0,4.0,5.0,https://www.prop.pk/property/details-22066732.html,2850-3725,85-97
282,3 weeks ,14.0,5.0,Flat,E-11,450.0,2.0,2.0,https://www.prop.pk/property/details-22421356.html,225-1100,14-25
283,3 weeks ,40.0,12.0,Flat,"Khudadad Heights, E-11/2",2300.0,3.0,3.0,https://www.prop.pk/property/details-22299533.html,1975-2850,37-49
284,3 weeks ,25.0,6.0,Flat,E-11,1650.0,2.0,2.0,https://www.prop.pk/property/details-22414230.html,1100-1975,25-37
285,4 weeks ,26.0,4.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22413955.html,225-1100,25-37
286,4 weeks ,45.0,9.0,Flat,"Khudadad Heights, E-11/4",2350.0,3.0,3.0,https://www.prop.pk/property/details-22410282.html,1975-2850,37-49
287,4 weeks ,55.0,17.0,Flat,E-11,1600.0,3.0,3.0,https://www.prop.pk/property/details-21334847.html,1100-1975,49-61
289,4 weeks ,45.0,7.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-20905954.html,1100-1975,37-49
290,4 weeks ,55.0,6.0,Flat,"E-11/1, E-11",1600.0,2.0,2.0,https://www.prop.pk/property/details-20906052.html,1100-1975,49-61
291,4 weeks ,90.0,6.0,Flat,"E-11/1, E-11",2600.0,4.0,4.0,https://www.prop.pk/property/details-20906108.html,1975-2850,85-97
292,4 weeks ,80.0,12.0,Flat,"E-11/4, E-11",1800.0,4.0,3.0,https://www.prop.pk/property/details-20813959.html,1100-1975,73-85
293,4 weeks ,35.0,17.0,Flat,"E-11/4, E-11",750.0,1.0,1.0,https://www.prop.pk/property/details-9233221.html,225-1100,25-37
294,4 weeks ,55.0,17.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-10659484.html,1100-1975,49-61
295,4 weeks ,45.0,10.0,Flat,E-11,700.0,1.0,1.0,https://www.prop.pk/property/details-22400573.html,225-1100,37-49
296,4 weeks ,60.0,6.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22399357.html,1100-1975,49-61
297,4 weeks ,20.0,6.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-22399353.html,225-1100,14-25
298,1 month ,28.0,22.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22378162.html,225-1100,25-37
299,1 month ,35.0,7.0,Flat,E-11,1000.0,1.0,1.0,https://www.prop.pk/property/details-22374718.html,225-1100,25-37
300,1 month ,20.0,5.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-22353129.html,225-1100,14-25
301,1 month ,32.0,5.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-22345397.html,225-1100,25-37
302,1 month ,38.0,4.0,Flat,"E-11/3, E-11",720.0,2.0,2.0,https://www.prop.pk/property/details-21886625.html,225-1100,37-49
303,1 month ,35.0,5.0,Flat,"E-11/2, E-11",850.0,2.0,2.0,https://www.prop.pk/property/details-21639169.html,225-1100,25-37
304,1 month ,50.0,5.0,Flat,"E-11/3, E-11",800.0,2.0,2.0,https://www.prop.pk/property/details-21639154.html,225-1100,49-61
305,1 month ,38.0,5.0,Flat,"E-11/3, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-21639158.html,225-1100,37-49
306,1 month ,32.0,5.0,Flat,"E-11/3, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-21639161.html,225-1100,25-37
307,1 month ,25.0,5.0,Flat,"E-11/3, E-11",715.0,2.0,2.0,https://www.prop.pk/property/details-21639164.html,225-1100,25-37
308,1 month ,36.0,5.0,Flat,"E-11/3, E-11",850.0,2.0,2.0,https://www.prop.pk/property/details-21639167.html,225-1100,25-37
309,1 month ,25.0,5.0,Flat,"E-11/2, E-11",400.0,1.0,1.0,https://www.prop.pk/property/details-21080407.html,225-1100,25-37
310,1 month ,24.0,5.0,Flat,"E-11/2, E-11",400.0,1.0,1.0,https://www.prop.pk/property/details-21080417.html,225-1100,14-25
311,1 month ,48.0,5.0,Flat,"E-11/2, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-21080421.html,225-1100,37-49
312,1 month ,45.0,5.0,Flat,"E-11/2, E-11",800.0,2.0,2.0,https://www.prop.pk/property/details-21080429.html,225-1100,37-49
313,1 month ,25.0,1.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-20993433.html,225-1100,25-37
314,1 month ,30.0,5.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-21080246.html,225-1100,25-37
315,1 month ,23.0,5.0,Flat,"E-11/2, E-11",400.0,1.0,1.0,https://www.prop.pk/property/details-21080388.html,225-1100,14-25
317,1 month ,31.0,4.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-20973480.html,225-1100,25-37
318,1 month ,29.0,5.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-20973661.html,225-1100,25-37
321,1 month ,60.0,12.0,Flat,E-11,1800.0,2.0,2.0,https://www.prop.pk/property/details-21259670.html,1100-1975,49-61
323,1 month ,65.0,13.0,Flat,"Khudadad Heights, E-11/2",2800.0,4.0,4.0,https://www.prop.pk/property/details-22327390.html,1975-2850,61-73
324,1 month ,35.0,5.0,Flat,"E-11/2, E-11",600.0,1.0,1.0,https://www.prop.pk/property/details-22327305.html,225-1100,25-37
325,1 month ,55.0,10.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22308622.html,1100-1975,49-61
326,1 month ,40.0,4.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-22308171.html,225-1100,37-49
327,1 month ,65.0,16.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-21557637.html,1100-1975,61-73
328,1 month ,40.0,19.0,Flat,E-11,1160.0,2.0,2.0,https://www.prop.pk/property/details-21637608.html,1100-1975,37-49
329,1 month ,55.0,5.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22291754.html,1100-1975,49-61
330,1 month ,55.0,9.0,Flat,"Apollo Towers, E-11/4",1150.0,2.0,2.0,https://www.prop.pk/property/details-20716570.html,1100-1975,49-61
331,1 month ,65.0,29.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-15315359.html,1100-1975,61-73
332,1 month ,30.0,12.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-16281861.html,225-1100,25-37
333,1 month ,21.0,5.0,Flat,"E-11/1, E-11",461.0,1.0,1.0,https://www.prop.pk/property/details-22196005.html,225-1100,14-25
334,1 month ,35.0,21.0,Flat,E-11,2300.0,3.0,3.0,https://www.prop.pk/property/details-22169604.html,1975-2850,25-37
335,1 month ,45.0,20.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-20594118.html,1100-1975,37-49
336,1 month ,65.0,16.0,Flat,E-11,1400.0,2.0,2.0,https://www.prop.pk/property/details-22134319.html,1100-1975,61-73
337,1 month ,52.0,8.0,Flat,E-11,1250.0,2.0,3.0,https://www.prop.pk/property/details-22129842.html,1100-1975,49-61
338,1 month ,30.0,10.0,Flat,"E-11/3, E-11",700.0,2.0,2.0,https://www.prop.pk/property/details-22114456.html,225-1100,25-37
339,1 month ,45.0,12.0,Flat,E-11,1500.0,4.0,4.0,https://www.prop.pk/property/details-22088465.html,1100-1975,37-49
340,1 month ,15.0,4.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22085243.html,225-1100,14-25
341,1 month ,66.0,5.0,Flat,"Margalla Hills-2, E-11",1800.0,3.0,3.0,https://www.prop.pk/property/details-22080855.html,1100-1975,61-73
342,1 month ,32.0,12.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-22066563.html,225-1100,25-37
343,1 month ,70.0,27.0,Flat,E-11,3000.0,3.0,3.0,https://www.prop.pk/property/details-21508596.html,2850-3725,61-73
344,1 month ,55.0,10.0,Flat,"E-11/1, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-22061585.html,225-1100,49-61
345,1 month ,55.0,16.0,Flat,E-11,2476.0,4.0,4.0,https://www.prop.pk/property/details-22041250.html,1975-2850,49-61
346,1 month ,35.0,5.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-21494957.html,1100-1975,25-37
347,1 month ,25.0,5.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-21501978.html,225-1100,25-37
348,1 month ,70.0,3.0,Flat,E-11,1500.0,2.0,2.0,https://www.prop.pk/property/details-21731281.html,1100-1975,61-73
349,1 month ,45.0,5.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-21463424.html,1100-1975,37-49
350,1 month ,47.0,14.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21161648.html,225-1100,37-49
352,1 month ,27.0,4.0,Flat,E-11,300.0,1.0,1.0,https://www.prop.pk/property/details-22036363.html,225-1100,25-37
353,1 month ,90.0,9.0,Flat,"Margalla Hills-2, E-11",2850.0,4.0,4.0,https://www.prop.pk/property/details-22032635.html,2850-3725,85-97
354,2 months ,42.0,20.0,Flat,"E-11/4, E-11",1575.0,2.0,1.0,https://www.prop.pk/property/details-22011519.html,1100-1975,37-49
355,2 months ,35.0,7.0,Flat,E-11,700.0,2.0,2.0,https://www.prop.pk/property/details-22001908.html,225-1100,25-37
356,2 months ,90.0,5.0,Flat,E-11,2800.0,4.0,5.0,https://www.prop.pk/property/details-21996129.html,1975-2850,85-97
357,2 months ,90.0,22.0,Flat,"MPCHS - Islamabad Garden, E-11/1",2750.0,4.0,5.0,https://www.prop.pk/property/details-21337927.html,1975-2850,85-97
358,2 months ,90.0,11.0,Flat,E-11,2250.0,4.0,4.0,https://www.prop.pk/property/details-16391581.html,1975-2850,85-97
359,2 months ,50.0,8.0,Flat,"E-11/2, E-11",1350.0,3.0,3.0,https://www.prop.pk/property/details-19688289.html,1100-1975,49-61
360,2 months ,35.0,8.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-14020400.html,1100-1975,25-37
361,2 months ,65.0,21.0,Flat,"E-11/4, E-11",1140.0,2.0,2.0,https://www.prop.pk/property/details-21946624.html,1100-1975,61-73
362,2 months ,55.0,14.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-20835803.html,225-1100,49-61
363,2 months ,70.0,26.0,Flat,E-11,1900.0,4.0,4.0,https://www.prop.pk/property/details-21287457.html,1100-1975,61-73
364,2 months ,53.0,12.0,Flat,E-11,1100.0,3.0,3.0,https://www.prop.pk/property/details-20982728.html,1100-1975,49-61
365,2 months ,32.0,19.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-21626996.html,225-1100,25-37
366,2 months ,55.0,11.0,Flat,"Khudadad Heights, E-11/2",1603.0,2.0,2.0,https://www.prop.pk/property/details-21888998.html,1100-1975,49-61
367,2 months ,35.0,7.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-21872833.html,225-1100,25-37
368,2 months ,19.0,4.0,Flat,"E-11/2, E-11",350.0,1.0,1.0,https://www.prop.pk/property/details-21816889.html,225-1100,14-25
369,2 months ,32.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21798625.html,225-1100,25-37
370,2 months ,22.0,5.0,Flat,E-11,525.0,1.0,1.0,https://www.prop.pk/property/details-21798622.html,225-1100,14-25
371,2 months ,27.0,4.0,Flat,"E-11/4, E-11",900.0,1.0,1.0,https://www.prop.pk/property/details-17660657.html,225-1100,25-37
374,2 months ,35.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21773055.html,225-1100,25-37
375,2 months ,85.0,10.0,Flat,"Makkah Tower, E-11",1800.0,3.0,4.0,https://www.prop.pk/property/details-21665268.html,1100-1975,85-97
376,2 months ,33.0,10.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21060174.html,225-1100,25-37
377,2 months ,60.0,11.0,Flat,E-11,2000.0,3.0,3.0,https://www.prop.pk/property/details-21449480.html,1975-2850,49-61
378,2 months ,50.0,6.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-21716928.html,225-1100,49-61
379,2 months ,60.0,9.0,Flat,"Apollo Towers, E-11/4",1850.0,3.0,3.0,https://www.prop.pk/property/details-21684806.html,1100-1975,49-61
380,2 months ,85.0,22.0,Flat,E-11,2000.0,4.0,4.0,https://www.prop.pk/property/details-21679696.html,1975-2850,85-97
381,2 months ,27.0,10.0,Flat,"E-11/2, E-11",650.0,1.0,1.0,https://www.prop.pk/property/details-21449939.html,225-1100,25-37
383,2 months ,55.0,13.0,Flat,E-11,1300.0,2.0,3.0,https://www.prop.pk/property/details-20095980.html,1100-1975,49-61
384,2 months ,36.0,9.0,Flat,"E-11/2, E-11",850.0,2.0,2.0,https://www.prop.pk/property/details-20251476.html,225-1100,25-37
385,2 months ,35.0,9.0,Flat,"E-11/4, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-21583554.html,225-1100,25-37
386,2 months ,27.0,4.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-21571075.html,225-1100,25-37
387,2 months ,28.0,3.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-21549788.html,225-1100,25-37
388,2 months ,36.0,20.0,Flat,"Others, E-11",500.0,1.0,1.0,https://www.prop.pk/property/details-20948098.html,225-1100,25-37
389,2 months ,37.0,14.0,Flat,E-11,1600.0,3.0,3.0,https://www.prop.pk/property/details-19139211.html,1100-1975,37-49
390,2 months ,21.0,7.0,Flat,"E-11/4, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-20051827.html,225-1100,14-25
391,2 months ,22.0,6.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-21502703.html,225-1100,14-25
392,2 months ,35.0,15.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-21489787.html,225-1100,25-37
393,2 months ,32.0,7.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-21480359.html,225-1100,25-37
394,2 months ,70.0,11.0,Flat,"E-11/1, E-11",1900.0,3.0,4.0,https://www.prop.pk/property/details-20751147.html,1100-1975,61-73
395,2 months ,40.0,34.0,Flat,"E-11/3, E-11",675.0,2.0,2.0,https://www.prop.pk/property/details-21412831.html,225-1100,37-49
396,3 months ,45.0,12.0,Flat,"E-11/4, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-20803502.html,225-1100,37-49
397,3 months ,35.0,5.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-20968219.html,225-1100,25-37
398,3 months ,55.0,7.0,Flat,E-11,1100.0,2.0,2.0,https://www.prop.pk/property/details-18334478.html,1100-1975,49-61
399,3 months ,53.0,12.0,Flat,"E-11/4, E-11",2000.0,3.0,3.0,https://www.prop.pk/property/details-20571020.html,1975-2850,49-61
400,3 months ,53.0,12.0,Flat,"E-11/4, E-11",2000.0,3.0,3.0,https://www.prop.pk/property/details-20571020.html,1975-2850,49-61
401,3 months ,48.0,6.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21271063.html,225-1100,37-49
402,3 months ,45.0,13.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-9233367.html,1100-1975,37-49
404,3 months ,55.0,12.0,Flat,E-11,1500.0,2.0,2.0,https://www.prop.pk/property/details-21250682.html,1100-1975,49-61
405,3 months ,16.0,11.0,Flat,"E-11/1, E-11",1500.0,2.0,2.0,https://www.prop.pk/property/details-21248800.html,1100-1975,14-25
406,3 months ,70.0,19.0,Flat,"E-11/4, E-11",1600.0,2.0,2.0,https://www.prop.pk/property/details-21238637.html,1100-1975,61-73
407,3 months ,50.0,13.0,Flat,E-11,950.0,2.0,2.0,https://www.prop.pk/property/details-21231856.html,225-1100,49-61
408,3 months ,28.0,5.0,Flat,"E-11/4, E-11",816.0,1.0,1.0,https://www.prop.pk/property/details-21200341.html,225-1100,25-37
409,3 months ,36.0,15.0,Flat,"E-11/2, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-21148685.html,225-1100,25-37
410,3 months ,45.0,8.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-20747368.html,1100-1975,37-49
411,3 months ,23.0,4.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-21094994.html,225-1100,14-25
412,3 months ,48.0,7.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-20869933.html,225-1100,37-49
413,3 months ,64.0,5.0,Flat,E-11,1850.0,3.0,3.0,https://www.prop.pk/property/details-21010280.html,1100-1975,61-73
414,3 months ,35.0,11.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-20995541.html,225-1100,25-37
415,3 months ,45.0,3.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-20980623.html,1100-1975,37-49
416,3 months ,70.0,4.0,Flat,"E-11/2, E-11",1600.0,3.0,3.0,https://www.prop.pk/property/details-20980557.html,1100-1975,61-73
418,3 months ,50.0,15.0,Flat,"E-11/2, E-11",1150.0,2.0,2.0,https://www.prop.pk/property/details-20978971.html,1100-1975,49-61
419,3 months ,20.0,3.0,Flat,E-11,350.0,1.0,1.0,https://www.prop.pk/property/details-20978392.html,225-1100,14-25
420,3 months ,25.0,9.0,Flat,"Khudadad Heights, E-11/4",600.0,1.0,1.0,https://www.prop.pk/property/details-20915247.html,225-1100,25-37
421,3 months ,90.0,4.0,Flat,"E-11/4, E-11",2700.0,3.0,4.0,https://www.prop.pk/property/details-20902746.html,1975-2850,85-97
422,3 months ,55.0,6.0,Flat,E-11,1100.0,3.0,3.0,https://www.prop.pk/property/details-20876737.html,1100-1975,49-61
423,3 months ,30.0,3.0,Flat,"E-11/3, E-11",700.0,2.0,2.0,https://www.prop.pk/property/details-20856013.html,225-1100,25-37
424,3 months ,75.0,11.0,Flat,E-11,1200.0,3.0,2.0,https://www.prop.pk/property/details-20844902.html,1100-1975,73-85
425,3 months ,47.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-20763590.html,225-1100,37-49
